INT ,INT ,ALPHA ,INT ,INT ,ALPHA ,ALPHA ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL ,ALPHA ,DD/MM/YY ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,INT ,INT ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,ALPHA ,INT ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL 
Row_Number,Tree,Variety,Variety_Id,Treatment,Density,Training,Observation,Date_Observation,Gu_Code,Length,D20150722,Position,Date_Burst,Growing_Cycle,Orientation,Divergent_Angle,Divergent_Orientation,Deflection_Angle,Nb_Leaf,Parent_Node,Entity,Nb_Daughter,Nb_Apical,Nb_Lateral,Daughter_Arrangement,Bent,Date_Bent,Remove_Branch,Pruned,Damage,Flower,Nb_Flower_Apical,Nb_Flower_Lateral,Date_Apical_Flower1,Flower_Type_Apical_Flower1,Remove_Apical_Flower1,Date_Remove_Apical_Flower1,Fruit_Apical_Flower1,Nb_Fruit_Apical_Flower1,Date_Lateral_Flower1,Flower_Type_Lateral_Flower1,Remove_Lateral_Flower1,Date_Remove_Lateral_Flower1,Fruit_Lateral_Flower1,Nb_Fruit_Lateral_Flower1,Date_Lateral_Flower2,Flowertype_Lateral_Flower2,Remove_Lateral_Flower2,Date_Remove_Lateral_Flower2,Fruit_Lateral_Flower2,Nb_Fruit_Lateral_Flower2,Date_Lateral_Flower3,Flowertype_Lateral_Flower3,Remove_Lateral_Flower3,Date_Remove_Lateral_Flower3,Fruit_Lateral_Flower3,Nb_Fruit_Lateral_Flower3,Date_Lateral_Flower4,Flowertype_.Lateral_Flower4,Remove_Lateral_Flower4,Date_Remove_Lateral_Flower4,Fruit_Lateral_Flower4,Nb_Fruit_Lateral_Flower4,Date_Pruned,Type_Pruned,Length_Pruned,Top_Diameter_Pruned
1339,6,Calypso,2,3,Medium,Single Leader ,1,18/09/2014,0,9,NA,A,,NA,V,NA,,NA,NA,NA,S,3,0,3,,0,,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/12/2013,T,8.0,7.84
1340,6,Calypso,2,3,Medium,Single Leader ,1,18/09/2014,0.1,4,23.84,L,,14,H,NA,,NA,NA,NA,B,1,1,0,,1,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
1341,6,Calypso,2,3,Medium,Single Leader ,1,18/09/2014,0.1.0,19,22.68,A,1/09/2014,15,H,NA,,NA,NA,NA,B,3,0,3,,1,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
1342,6,Calypso,2,3,Medium,Single Leader ,4,19/02/2015,0.1.0.1,27,12.99,L,29/11/2014,15,H,NA,,NA,NA,NA,B,1,1,0,,1,16/12/2014,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,15/10/2015,T,,
1343,6,Calypso,2,3,Medium,Single Leader ,4,19/02/2015,0.1.0.1.0,25,11.46,A,29/01/2015,15,H,NA,,NA,NA,NA,B,4,0,4,,1,19/02/2015,0,1,,1,1,2,3/08/2015,I,1,15/10/2015,1,8,3/08/2015,I,1,15/10/2015,1,7,10/08/2015,I,1,15/10/2015,0,NA,,,,,,NA,,,NA,,NA,NA,15/10/2015,T,NA,NA
1356,6,Calypso,2,3,Medium,Single Leader ,4,19/02/2015,0.1.0.2,30,11.21,L,29/11/2014,15,H,NA,,NA,NA,NA,B,1,1,0,,1,16/12/2014,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
1357,6,Calypso,2,3,Medium,Single Leader ,4,19/02/2015,0.1.0.2.0,19,10.99,A,29/01/2015,15,H,NA,,NA,NA,NA,B,3,0,3,,1,19/02/2015,0,1,,1,0,1,,,,,NA,NA,10/08/2015,I,1,15/10/2015,1,5,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,19/02/2015,T,16.0,5.16
1374,6,Calypso,2,3,Medium,Single Leader ,4,19/02/2015,0.1.0.3,30,7.64,L,29/11/2014,15,H,NA,,NA,NA,NA,B,0,0,0,,1,16/12/2014,0,1,,1,1,0,3/08/2015,I,1,15/10/2015,1,5,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,25/02/2016,T,30.0,11.66
1375,6,Calypso,2,3,Medium,Single Leader ,1,18/09/2014,0.2,NA,NA,L,,14,H,NA,,NA,NA,NA,B,0,0,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,11/04/2014,B,0.0,6.52
