INT ,INT ,ALPHA ,INT ,INT ,ALPHA ,ALPHA ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL ,ALPHA ,DD/MM/YY ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,INT ,INT ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,ALPHA ,INT ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL 
Row_Number,Tree,Variety,Variety_Id,Treatment,Density,Training,Observation,Date_Observation,Gu_Code,Length,D20150722,Position,Date_Burst,Growing_Cycle,Orientation,Divergent_Angle,Divergent_Orientation,Deflection_Angle,Nb_Leaf,Parent_Node,Entity,Nb_Daughter,Nb_Apical,Nb_Lateral,Daughter_Arrangement,Bent,Date_Bent,Remove_Branch,Pruned,Damage,Flower,Nb_Flower_Apical,Nb_Flower_Lateral,Date_Apical_Flower1,Flower_Type_Apical_Flower1,Remove_Apical_Flower1,Date_Remove_Apical_Flower1,Fruit_Apical_Flower1,Nb_Fruit_Apical_Flower1,Date_Lateral_Flower1,Flower_Type_Lateral_Flower1,Remove_Lateral_Flower1,Date_Remove_Lateral_Flower1,Fruit_Lateral_Flower1,Nb_Fruit_Lateral_Flower1,Date_Lateral_Flower2,Flowertype_Lateral_Flower2,Remove_Lateral_Flower2,Date_Remove_Lateral_Flower2,Fruit_Lateral_Flower2,Nb_Fruit_Lateral_Flower2,Date_Lateral_Flower3,Flowertype_Lateral_Flower3,Remove_Lateral_Flower3,Date_Remove_Lateral_Flower3,Fruit_Lateral_Flower3,Nb_Fruit_Lateral_Flower3,Date_Lateral_Flower4,Flowertype_.Lateral_Flower4,Remove_Lateral_Flower4,Date_Remove_Lateral_Flower4,Fruit_Lateral_Flower4,Nb_Fruit_Lateral_Flower4,Date_Pruned,Type_Pruned,Length_Pruned,Top_Diameter_Pruned
4256,17,Calypso,2,3,Medium,Single Leader ,1,19/09/2014,0,8,NA,A,,NA,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4257,17,Calypso,2,3,Medium,Single Leader ,1,19/09/2014,0.0,16,28.71,A,,NA,V,NA,,NA,NA,NA,S,3,1,2,W,0,,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/12/2013,T,,6.93
4258,17,Calypso,2,3,Medium,Single Leader ,1,19/09/2014,0.0.1,8,24.77,L,,14,H,NA,,NA,NA,NA,B,1,1,0,,1,30/04/2014,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4259,17,Calypso,2,3,Medium,Single Leader ,1,19/09/2014,0.0.1.0,13,22.19,A,,14,H,NA,,NA,NA,NA,B,3,0,3,W,1,30/04/2014,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,11/04/2014,T,,6.10
4260,17,Calypso,2,3,Medium,Single Leader ,4,23/02/2015,0.0.1.0.1,21,13.32,L,,14,H,NA,,NA,NA,NA,B,4,0,4,A,1,30/04/2014,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,12/11/2014,T,,7.44
4261,17,Calypso,2,3,Medium,Single Leader ,4,23/02/2015,0.0.1.0.1.1,16,6.59,L,24/12/2014,15,H,NA,,NA,NA,NA,B,2,0,2,,1,23/02/2015,0,0,,1,1,0,28/08/2015,I,1,16/10/2015,1,4,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4266,17,Calypso,2,3,Medium,Single Leader ,4,23/02/2015,0.0.1.0.1.2,15,6.53,L,20/12/2014,15,H,NA,,NA,NA,NA,B,0,0,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,24/12/2014,B,1,5
4267,17,Calypso,2,3,Medium,Single Leader ,5,14/04/2015,0.0.1.0.1.3,18,NA,L,24/12/2014,15,H,NA,,NA,NA,NA,B,4,0,4,,1,23/02/2015,0,0,,1,1,0,4/09/2015,MV,1,16/10/2015,1,1,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4279,17,Calypso,2,3,Medium,Single Leader ,3,17/12/2014,0.0.1.0.2,21,NA,L,21/10/2014,15,I,NA,,NA,NA,NA,B,1,1,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/02/2015,C,,12.00
