INT ,INT ,ALPHA ,INT ,INT ,ALPHA ,ALPHA ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL ,ALPHA ,DD/MM/YY ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,INT ,INT ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,ALPHA ,INT ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL 
Row_Number,Tree,Variety,Variety_Id,Treatment,Density,Training,Observation,Date_Observation,Gu_Code,Length,D20150722,Position,Date_Burst,Growing_Cycle,Orientation,Divergent_Angle,Divergent_Orientation,Deflection_Angle,Nb_Leaf,Parent_Node,Entity,Nb_Daughter,Nb_Apical,Nb_Lateral,Daughter_Arrangement,Bent,Date_Bent,Remove_Branch,Pruned,Damage,Flower,Nb_Flower_Apical,Nb_Flower_Lateral,Date_Apical_Flower1,Flower_Type_Apical_Flower1,Remove_Apical_Flower1,Date_Remove_Apical_Flower1,Fruit_Apical_Flower1,Nb_Fruit_Apical_Flower1,Date_Lateral_Flower1,Flower_Type_Lateral_Flower1,Remove_Lateral_Flower1,Date_Remove_Lateral_Flower1,Fruit_Lateral_Flower1,Nb_Fruit_Lateral_Flower1,Date_Lateral_Flower2,Flowertype_Lateral_Flower2,Remove_Lateral_Flower2,Date_Remove_Lateral_Flower2,Fruit_Lateral_Flower2,Nb_Fruit_Lateral_Flower2,Date_Lateral_Flower3,Flowertype_Lateral_Flower3,Remove_Lateral_Flower3,Date_Remove_Lateral_Flower3,Fruit_Lateral_Flower3,Nb_Fruit_Lateral_Flower3,Date_Lateral_Flower4,Flowertype_.Lateral_Flower4,Remove_Lateral_Flower4,Date_Remove_Lateral_Flower4,Fruit_Lateral_Flower4,Nb_Fruit_Lateral_Flower4,Date_Pruned,Type_Pruned,Length_Pruned,Top_Diameter_Pruned
2791,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.1.1.2.2,18,5.93,L,9/03/2015,15,V,NA,,NA,NA,NA,B,4,0,4,,0,,0,0,,1,1,0,3/08/2015,I,1,16/10/2015,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2808,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.1.1.2.3,NA,NA,L,9/03/2015,15,V,NA,,NA,NA,NA,B,3,0,3,,0,,0,0,,1,1,0,3/08/2015,I,1,16/10/2015,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2819,12,Calypso,2,4,High ,Conventional Hedge,1,18/09/2014,0.0.1.0.2,19,18.96,L,,14,V,NA,,NA,NA,NA,B,1,0,1,,0,,0,1,,1,0,2,,,,,NA,NA,11/08/2014,,1,11/09/2014,0,0,11/08/2014,,1,11/09/2014,0,0,,,,,,NA,,,NA,,NA,NA,11/04/2014,T,14.0,9.42
2820,12,Calypso,2,4,High ,Conventional Hedge,4,20/02/2015,0.0.1.0.2.1,20,13.97,L,12/11/2014,15,V,NA,,NA,NA,NA,B,3,1,2,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2821,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.2.1.0,24,9.8,A,23/02/2015,15,V,NA,,NA,NA,NA,B,2,0,2,,0,,0,0,,1,1,0,10/08/2015,I,1,16/10/2015,1,4,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2833,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.2.1.1,22,6.21,L,23/02/2015,15,I,NA,,NA,NA,NA,B,3,0,3,,0,,0,0,,1,1,0,3/08/2015,I,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2840,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.2.1.2,12.5,4.99,L,9/03/2015,15,H,NA,,NA,NA,NA,B,2,0,2,,0,,0,0,,1,1,0,4/09/2015,MV,1,16/10/2015,1,3,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2846,12,Calypso,2,4,High ,Conventional Hedge,1,18/09/2014,0.0.1.0.3,19.5,35.22,L,,14,I,NA,,NA,NA,NA,B,2,0,2,A,0,,0,1,,1,0,1,11/08/2014,,,,NA,NA,,,1,11/09/2014,NA,NA,,,1,11/09/2014,NA,NA,,,,,,NA,,,NA,,NA,NA,11/04/2014,T,18.0,8.84
2847,12,Calypso,2,4,High ,Conventional Hedge,2,3/11/2014,0.0.1.0.3.1,26,17.85,L,,15,I,NA,,NA,NA,NA,B,2,1,1,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2848,12,Calypso,2,4,High ,Conventional Hedge,3,17/12/2014,0.0.1.0.3.1.0,24,14.76,A,12/12/2014,15,I,NA,,NA,NA,NA,B,4,0,4,,0,,0,1,,1,0,1,,,,,NA,NA,24/08/2015,I,1,16/10/2015,1,3,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,17/12/2014,T,17.0,6.71
2849,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.1.0.1,22,7.83,L,2/02/2015,15,V,NA,,NA,NA,NA,B,2,0,2,,0,,0,0,,1,1,0,3/08/2015,I,1,16/10/2015,1,4,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2856,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.1.0.2,11.5,7.85,L,2/02/2015,15,V,NA,,NA,NA,NA,B,2,0,2,,0,,0,0,,1,1,0,3/08/2015,I,1,16/10/2015,1,2,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2861,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.1.0.3,21,7.85,L,2/02/2015,15,V,NA,,NA,NA,NA,B,7,0,7,,0,,0,0,,1,1,0,3/08/2015,I,1,16/10/2015,1,5,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2875,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.1.0.4,17.5,7.33,L,2/02/2015,15,V,NA,,NA,NA,NA,B,3,0,3,,0,,0,0,,1,1,0,3/08/2015,MV,1,16/10/2015,1,3,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2886,12,Calypso,2,4,High ,Conventional Hedge,6,10/06/2015,0.0.1.0.3.1.1,26,8.07,L,30/04/2015,15,V,NA,,NA,NA,NA,B,8,0,8,,0,,0,0,,1,1,0,3/08/2015,I,1,16/10/2015,1,4,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2905,12,Calypso,2,4,High ,Conventional Hedge,2,3/11/2014,0.0.1.0.3.2,28,22.89,L,20/09/2014,15,I,NA,,NA,NA,NA,B,8,1,7,A,0,,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2906,12,Calypso,2,4,High ,Conventional Hedge,2,3/11/2014,0.0.1.0.3.2.0,35,NA,A,,15,I,NA,,NA,NA,NA,B,0,0,0,,0,,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,20/02/2015,T,15.59,6
2907,12,Calypso,2,4,High ,Conventional Hedge,4,20/02/2015,0.0.1.0.3.2.1,32,NA,L,14/11/2014,15,I,NA,,NA,NA,NA,B,0,0,0,,0,,1,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2908,12,Calypso,2,4,High ,Conventional Hedge,3,17/12/2014,0.0.1.0.3.2.2,26,NA,L,14/11/2014,15,V,NA,,NA,NA,NA,B,0,0,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,17/12/2014,C,1.0,7.84
2909,12,Calypso,2,4,High ,Conventional Hedge,3,17/12/2014,0.0.1.0.3.2.3,32,NA,L,14/11/2014,15,I,NA,,NA,NA,NA,B,0,0,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,17/12/2014,C,1.0,7.51
2910,12,Calypso,2,4,High ,Conventional Hedge,4,20/02/2015,0.0.1.0.3.2.4,27,17.98,L,14/11/2014,15,I,NA,,NA,NA,NA,B,4,1,3,W,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2911,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.2.4.0,35,10.12,A,23/02/2015,15,I,NA,,NA,NA,NA,B,2,0,2,,0,,0,0,,1,1,0,3/08/2015,I,1,16/10/2015,1,7,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2921,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.2.4.1,28,7.62,L,23/02/2015,15,H,NA,,NA,NA,NA,B,3,0,3,,0,,1,0,,1,1,0,3/08/2015,I,1,16/10/2015,1,5,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,17/12/2015,C,0.0,0.00
2929,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.2.4.2,33,9.46,L,23/02/2015,15,H,NA,,NA,NA,NA,B,6,0,6,,0,,0,0,,1,1,0,10/08/2015,I,1,16/10/2015,1,4,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2940,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.2.4.3,35,8.97,L,23/02/2015,15,I,NA,,NA,NA,NA,B,7,0,7,,0,,0,1,,1,1,0,3/08/2015,I,1,16/10/2015,1,4,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,17/12/2015,T,30.0,10.70
2950,12,Calypso,2,4,High ,Conventional Hedge,4,20/02/2015,0.0.1.0.3.2.5,6,11.72,L,2/12/2014,15,H,NA,,NA,NA,NA,B,4,1,3,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2951,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.2.5.0,35,10.52,A,13/02/2015,15,I,NA,,NA,NA,NA,B,1,1,0,,0,,0,1,,1,0,3,,,,,NA,NA,10/08/2015,I ,1,16/10/2015,1,4,10/08/2015,I,1,16/10/2015,1,1,16/08/2015,I ,1,16/10/2015,1,2,,,NA,,NA,NA,16/10/2015,T,NA,NA
2952,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.2.5.0.0,9,NA,A,9/03/2015,15,I,NA,,NA,NA,NA,B,0,0,0,,0,,1,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,13/04/2015,C,,
2961,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.2.6,26,NA,L,2/03/2015,15,V,NA,,NA,NA,NA,B,0,0,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,13/04/2015,C,1.0,7.10
2962,12,Calypso,2,4,High ,Conventional Hedge,5,13/04/2015,0.0.1.0.3.2.7,14,NA,L,2/03/2015,15,V,NA,,NA,NA,NA,B,0,0,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,13/04/2015,C,1.0,5.12
