INT ,INT ,ALPHA ,INT ,INT ,ALPHA ,ALPHA ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL ,ALPHA ,DD/MM/YY ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,INT ,INT ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,ALPHA ,INT ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL 
Row_Number,Tree,Variety,Variety_Id,Treatment,Density,Training,Observation,Date_Observation,Gu_Code,Length,D20150722,Position,Date_Burst,Growing_Cycle,Orientation,Divergent_Angle,Divergent_Orientation,Deflection_Angle,Nb_Leaf,Parent_Node,Entity,Nb_Daughter,Nb_Apical,Nb_Lateral,Daughter_Arrangement,Bent,Date_Bent,Remove_Branch,Pruned,Damage,Flower,Nb_Flower_Apical,Nb_Flower_Lateral,Date_Apical_Flower1,Flower_Type_Apical_Flower1,Remove_Apical_Flower1,Date_Remove_Apical_Flower1,Fruit_Apical_Flower1,Nb_Fruit_Apical_Flower1,Date_Lateral_Flower1,Flower_Type_Lateral_Flower1,Remove_Lateral_Flower1,Date_Remove_Lateral_Flower1,Fruit_Lateral_Flower1,Nb_Fruit_Lateral_Flower1,Date_Lateral_Flower2,Flowertype_Lateral_Flower2,Remove_Lateral_Flower2,Date_Remove_Lateral_Flower2,Fruit_Lateral_Flower2,Nb_Fruit_Lateral_Flower2,Date_Lateral_Flower3,Flowertype_Lateral_Flower3,Remove_Lateral_Flower3,Date_Remove_Lateral_Flower3,Fruit_Lateral_Flower3,Nb_Fruit_Lateral_Flower3,Date_Lateral_Flower4,Flowertype_.Lateral_Flower4,Remove_Lateral_Flower4,Date_Remove_Lateral_Flower4,Fruit_Lateral_Flower4,Nb_Fruit_Lateral_Flower4,Date_Pruned,Type_Pruned,Length_Pruned,Top_Diameter_Pruned
2970,13,Keitt,3,5,High ,Single Leader Trellis,1,18/09/2014,0,6,NA,A,,NA,V,NA,,NA,0,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,0,,NA,NA,,,0,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2971,13,Keitt,3,5,High ,Single Leader Trellis,1,18/09/2014,0.0,4,40.23,A,,NA,V,NA,,NA,3,NA,S,5,1,4,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,0,,NA,NA,,,0,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2972,13,Keitt,3,5,High ,Single Leader Trellis,1,18/09/2014,0.0.1,15,26.42,L,,14,H,330,NW,90,5,3,B,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,0,,NA,NA,,,0,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2973,13,Keitt,3,5,High ,Single Leader Trellis,1,18/09/2014,0.0.1.0,16,23.21,A,,14,H,317,NW,NA,9,NA,B,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,0,,NA,NA,,,0,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2974,13,Keitt,3,5,High ,Single Leader Trellis,1,18/09/2014,0.0.1.0.0,15,22.25,A,,14,H,330,NW,NA,5,NA,B,5,0,5,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,0,,NA,NA,,,0,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
2975,13,Keitt,3,5,High ,Single Leader Trellis,2,3/11/2014,0.0.1.0.0.1,24,14.92,L,,14,H,354,N,90,10,5,B,3,0,3,W,1,30/10/2014,0,1,,1,1,0,11/08/2014,,,,NA,NA,,,1,11/09/2014,NA,NA,,,1,11/09/2014,NA,NA,,,,,,NA,,,NA,,NA,NA,17/12/2015,B,1,14.45
2976,13,Keitt,3,5,High ,Single Leader Trellis,3,17/12/2014,0.0.1.0.0.1.1,17,11.98,L,12/10/2014,15,H,0,N,160,6,10,B,1,1,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,0,,NA,NA,,,0,,NA,NA,,,,,,NA,,,NA,,NA,NA,17/12/2015,C,,
2977,13,Keitt,3,5,High ,Single Leader Trellis,4,20/02/2015,0.0.1.0.0.1.1.0,15,12.98,A,28/11/2014,15,H,NA,,NA,12,NA,B,1,1,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,0,,NA,NA,,,0,,NA,NA,,,,,,NA,,,NA,,NA,NA,17/12/2015,C,,
2978,13,Keitt,3,5,High ,Single Leader Trellis,5,14/04/2015,0.0.1.0.0.1.1.0.0,16,11.25,A,9/01/2015,15,H,NA,,190,NA,NA,B,1,1,0,,1,16/03/2015,1,1,,0,NA,NA,,,,,NA,NA,,,0,,NA,NA,,,0,,NA,NA,,,,,,NA,,,NA,,NA,NA,17/12/2015,C,,
