INT ,INT ,ALPHA ,INT ,INT ,ALPHA ,ALPHA ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL ,ALPHA ,DD/MM/YY ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,INT ,INT ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,ALPHA ,INT ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL 
Row_Number,Tree,Variety,Variety_Id,Treatment,Density,Training,Observation,Date_Observation,Gu_Code,Length,D20150722,Position,Date_Burst,Growing_Cycle,Orientation,Divergent_Angle,Divergent_Orientation,Deflection_Angle,Nb_Leaf,Parent_Node,Entity,Nb_Daughter,Nb_Apical,Nb_Lateral,Daughter_Arrangement,Bent,Date_Bent,Remove_Branch,Pruned,Damage,Flower,Nb_Flower_Apical,Nb_Flower_Lateral,Date_Apical_Flower1,Flower_Type_Apical_Flower1,Remove_Apical_Flower1,Date_Remove_Apical_Flower1,Fruit_Apical_Flower1,Nb_Fruit_Apical_Flower1,Date_Lateral_Flower1,Flower_Type_Lateral_Flower1,Remove_Lateral_Flower1,Date_Remove_Lateral_Flower1,Fruit_Lateral_Flower1,Nb_Fruit_Lateral_Flower1,Date_Lateral_Flower2,Flowertype_Lateral_Flower2,Remove_Lateral_Flower2,Date_Remove_Lateral_Flower2,Fruit_Lateral_Flower2,Nb_Fruit_Lateral_Flower2,Date_Lateral_Flower3,Flowertype_Lateral_Flower3,Remove_Lateral_Flower3,Date_Remove_Lateral_Flower3,Fruit_Lateral_Flower3,Nb_Fruit_Lateral_Flower3,Date_Lateral_Flower4,Flowertype_.Lateral_Flower4,Remove_Lateral_Flower4,Date_Remove_Lateral_Flower4,Fruit_Lateral_Flower4,Nb_Fruit_Lateral_Flower4,Date_Pruned,Type_Pruned,Length_Pruned,Top_Diameter_Pruned
4705,21,1243,1,3,Medium,Single Leader ,1,19/09/2014,0,7,NA,A,,NA,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4706,21,1243,1,3,Medium,Single Leader ,1,19/09/2014,0.0,3.5,NA,A,,NA,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4707,21,1243,1,3,Medium,Single Leader ,1,19/09/2014,0.0.0,11.5,NA,A,,NA,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4708,21,1243,1,3,Medium,Single Leader ,1,19/09/2014,0.0.0.0,21,31.17,A,,NA,V,NA,,NA,NA,NA,S,3,0,3,W,0,,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/12/2013,T,,13.15
4709,21,1243,1,3,Medium,Single Leader ,1,19/09/2014,0.0.0.0.1,12,22.4,L,,14,H,NA,,NA,NA,NA,B,3,0,3,W,1,30/04/2014,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,11/04/2014,T,,8.71
4710,21,1243,1,3,Medium,Single Leader ,2,3/11/2014,0.0.0.0.1.1,2.5,NA,L,18/10/2014,15,H,NA,,NA,NA,NA,B,0,0,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,3/11/2014,C,1.0,7.15
4711,21,1243,1,3,Medium,Single Leader ,2,3/11/2014,0.0.0.0.1.2,25,13.57,L,18/10/2014,15,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4712,21,1243,1,3,Medium,Single Leader ,3,18/12/2014,0.0.0.0.1.2.0,11,11.12,A,18/11/2014,15,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4713,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.1.2.0.0,10.5,10.22,A,4/12/2014,15,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,1,,1,0,1,,,,,NA,NA,7/09/2015,I,0,,0,0,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,13/04/2015,T,3.5,8.90
4714,21,1243,1,3,Medium,Single Leader ,5,14/04/2015,0.0.0.0.1.2.0.0.0,3.5,10.63,A,12/01/2015,15,V,NA,,NA,NA,NA,S,1,0,1,,0,,1,0,I,1,0,1,3/08/2015,,,,NA,NA,3/08/2015,I,1,16/10/2015,1,5,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,13/04/2015,C,,
4715,21,1243,1,3,Medium,Single Leader ,5,13/04/2015,0.0.0.0.1.2.0.0.0.1,8,6.66,L,7/04/2015,15,V,NA,,NA,NA,NA,S,1,1,0,,0,,1,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,13/04/2015,C,,
4733,21,1243,1,3,Medium,Single Leader ,2,3/11/2014,0.0.0.0.1.3,27,14.81,L,18/09/2014,15,H,NA,,NA,NA,NA,B,3,0,3,A,1,,0,1,I,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,12/11/2014,T,26.0,6.79
4734,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.1.3.1,10,7.31,L,20/11/2014,15,H,NA,,NA,NA,NA,B,2,1,1,,1,23/02/2015,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4735,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.1.3.1.0,8,7.22,A,12/01/2015,15,H,NA,,NA,NA,NA,B,1,1,0,,1,,0,1,,1,0,1,,,,,NA,NA,7/09/2015,I,1,16/10/2015,0,0,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/02/2015,B,5.0,6.00
4736,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.1.3.1.0.0,2.5,NA,A,5/02/2015,15,H,NA,,NA,NA,NA,B,0,0,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/02/2015,C,,
4737,21,1243,1,3,Medium,Single Leader ,5,13/04/2015,0.0.0.0.1.3.1.0.1,18,6.6,L,17/03/2015,15,H,NA,,NA,NA,NA,B,4,1,3,,1,,0,0,,1,1,0,24/08/2015,I,1,16/10/2015,0,0,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4746,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.1.3.2,14,11.64,L,20/11/2014,15,H,NA,,NA,NA,NA,B,1,1,0,,1,23/02/2015,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4747,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.1.3.2.0,14,10.68,A,12/01/2015,15,H,NA,,NA,NA,NA,B,3,0,3,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/02/2015,B,12.0,6.55
4748,21,1243,1,3,Medium,Single Leader ,5,13/04/2015,0.0.0.0.1.3.2.0.1,10,7.14,L,17/03/2015,15,H,NA,,NA,NA,NA,B,4,0,4,,1,,0,0,,1,1,0,24/08/2015,I,1,16/10/2015,1,1,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4761,21,1243,1,3,Medium,Single Leader ,5,13/04/2015,0.0.0.0.1.3.2.0.2,10.05,6.89,L,17/03/2015,15,H,NA,,NA,NA,NA,B,2,0,2,,1,,0,0,,1,1,0,3/08/2015,I,1,16/10/2015,1,4,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4767,21,1243,1,3,Medium,Single Leader ,5,13/04/2015,0.0.0.0.1.3.2.0.3,7.5,4.2,L,17/03/2015,15,H,NA,,NA,NA,NA,B,2,0,2,,1,,0,0,,1,1,0,3/08/2015,I,1,16/10/2015,1,3,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4774,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.1.3.3,20,NA,L,20/11/2014,15,V,NA,,NA,NA,NA,B,1,1,0,,0,,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/02/2015,B,,5.45
4775,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.1.3.3.0,15,NA,A,12/01/2015,15,V,NA,,NA,NA,NA,B,1,1,0,,0,,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/02/2015,C,,
4777,21,1243,1,3,Medium,Single Leader ,1,19/09/2014,0.0.0.0.2,11,20.34,L,,14,V,NA,,NA,NA,NA,B,1,1,0,,1,30/04/2014,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4778,21,1243,1,3,Medium,Single Leader ,2,3/11/2014,0.0.0.0.2.0,21,18.28,A,18/10/2014,15,H,NA,,NA,NA,NA,B,5,0,5,A,1,,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,12/11/2014,T,19.0,8.61
4779,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.2.0.1,16,11.12,L,20/11/2014,15,I,NA,,NA,NA,NA,B,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4780,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.2.0.1.0,10,9.05,A,18/01/2015,15,V,NA,,NA,NA,NA,B,2,0,2,,1,23/02/2015,1,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/02/2015,T,7.0,6.66
4781,21,1243,1,3,Medium,Single Leader ,5,13/04/2015,0.0.0.0.2.0.1.0.1,3,7.57,L,17/03/2015,15,H,NA,,NA,NA,NA,B,1,1,0,,1,,0,0,,1,1,0,13/09/2015,MV,0,,0,0,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4785,21,1243,1,3,Medium,Single Leader ,5,13/04/2015,0.0.0.0.2.0.1.0.2,11,9.28,L,17/03/2015,15,H,NA,,NA,NA,NA,B,1,1,0,,1,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
4796,21,1243,1,3,Medium,Single Leader ,4,23/02/2015,0.0.0.0.2.0.2,13,NA,L,20/11/2014,15,V,NA,,NA,NA,NA,B,1,1,0,,0,,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,23/02/2015,B,1.0,9.08
